event_id,time_epoch,magnitude,place,latitude,longitude,depth_km,updated_epoch,alert,status,timestamp,is_mainshock,aftershock_of_event_id,dt_days,dr_km
ci3251717,822431380580,2.5,"19km N of Ridgecrest, California",35.79,-117.673,9.304,1455239206626,,reviewed,1996-01-23 21:09:40.580000+00:00,False,,,
ci3251783,822470189900,3.07,"21km SW of Maricopa, California",34.921,-119.562,10.429,1455239208078,,reviewed,1996-01-24 07:56:29.900000+00:00,False,,,
ci3251847,822510122210,2.75,"30km E of Avalon, California",33.317,-118.005,5.836,1455320756224,,reviewed,1996-01-24 19:02:02.210000+00:00,False,,,
ci3251903,822548112660,3.57,"6km NNW of Yucca Valley, California",34.163,-116.446,1.067,1455357264119,,reviewed,1996-01-25 05:35:12.660000+00:00,False,,,
ci3251926,822567492880,2.75,"2km SW of San Fernando, California",34.268,-118.453,11.418,1455339063350,,reviewed,1996-01-25 10:58:12.880000+00:00,False,,,
ci3252027,822661562860,4.18,"19km N of Ridgecrest, California",35.789,-117.664,3.913,1455339067565,,reviewed,1996-01-26 13:06:02.860000+00:00,False,,,
ci3252149,822710879500,2.72,"19km N of Ridgecrest, California",35.792,-117.666,4.783,1455283617711,,reviewed,1996-01-27 02:47:59.500000+00:00,False,,,
ci3252209,822764707970,2.63,"15km ENE of Coso Junction, California",36.112,-117.809,5.3,1455320771812,,reviewed,1996-01-27 17:45:07.970000+00:00,False,,,
ci3252246,822782578190,2.61,"15km ENE of Coso Junction, California",36.118,-117.81,6.2,1455302708399,,reviewed,1996-01-27 22:42:58.190000+00:00,False,,,
ci3252273,822797225980,2.68,"2km NW of Loma Linda, California",34.057,-117.276,11.153,1455348065200,,reviewed,1996-01-28 02:47:05.980000+00:00,False,,,
ci3252280,822802190580,2.81,"11km NE of Fort Irwin, California",35.327,-116.595,1.258,1455265497109,,reviewed,1996-01-28 04:09:50.580000+00:00,False,,,
ci3252292,822810198330,2.51,"15km NNE of Ridgecrest, California",35.747,-117.626,4.467,1455239232885,,reviewed,1996-01-28 06:23:18.330000+00:00,False,,,
ci3252346,822857974950,2.74,"9km NNW of Ridgecrest, California",35.7,-117.71,9.119,1455348069030,,reviewed,1996-01-28 19:39:34.950000+00:00,False,,,
ci3252545,823015836810,2.62,"19km N of Ridgecrest, California",35.791,-117.66,7.333,1455274530375,,reviewed,1996-01-30 15:30:36.810000+00:00,False,,,
ci3252559,823026850890,3.9,"7km NNW of Pacoima, California",34.336,-118.478,10.127,1455311759424,,reviewed,1996-01-30 18:34:10.890000+00:00,False,,,
ci3252613,823052152970,3.12,"17km NNE of Ridgecrest, California",35.771,-117.62,2.283,1455239248318,,reviewed,1996-01-31 01:35:52.970000+00:00,False,,,
ci3252649,823084253910,2.64,"12km ESE of Piru, California",34.38,-118.671,16.907,1455265519319,,reviewed,1996-01-31 10:30:53.910000+00:00,False,,,
ci3252654,823086694350,3.25,"22km N of Yucca Valley, California",34.308,-116.455,1.378,1455320800584,,reviewed,1996-01-31 11:11:34.350000+00:00,False,,,
usp0007c2j,823129196240,3.4,"15 km ESE of Boulder City, Nevada",35.919,-114.679,5.0,1455302730643,,reviewed,1996-01-31 22:59:56.240000+00:00,False,,,
ci3252907,823237114820,2.89,"50km WSW of Carlsbad, California",33.007,-117.85,5.806,1455274541734,,reviewed,1996-02-02 04:58:34.820000+00:00,False,,,
ci3252942,823265251900,2.87,"4km SW of Cabazon, California",33.894,-116.813,8.74,1455265532667,,reviewed,1996-02-02 12:47:31.900000+00:00,False,,,
ci3253027,823296789330,2.69,"20km N of Santa Barbara Is., California",33.65,-119.04,5.689,1455339095462,,reviewed,1996-02-02 21:33:09.330000+00:00,False,,,
ci3253210,823415327630,3.61,"16km NNE of Barstow, California",35.03,-116.962,2.631,1455220263076,,reviewed,1996-02-04 06:28:47.630000+00:00,False,,,
ci3253297,823466196860,2.73,"14km NNE of Ridgecrest, California",35.743,-117.629,4.677,1455283678638,,reviewed,1996-02-04 20:36:36.860000+00:00,False,,,
ci3253480,823562838860,2.53,"18km N of Borrego Springs, California",33.422,-116.381,10.944,1455357332073,,reviewed,1996-02-05 23:27:18.860000+00:00,False,,,
ci3253926,823815312250,2.87,"48km WSW of Carlsbad, California",33.004,-117.837,5.806,1455339125930,,reviewed,1996-02-08 21:35:12.250000+00:00,False,,,
ci3253994,823868052660,3.58,"29km N of Yucca Valley, California",34.372,-116.463,-0.514,1455265591853,,reviewed,1996-02-09 12:14:12.660000+00:00,False,,,
ci3254104,823923498190,2.51,"22km N of Ridgecrest, California",35.819,-117.686,7.623,1455339134816,,reviewed,1996-02-10 03:38:18.190000+00:00,False,,,
nc30096439,823956487890,2.56,"7 km NE of Coalinga, California",36.1868333,-120.305,10.33,1482563532020,,reviewed,1996-02-10 12:48:07.890000+00:00,False,,,
ci3254182,824000220120,2.58,"11km SSE of Camarillo, California",34.133,-118.98,-0.531,1455274608314,,reviewed,1996-02-11 00:57:00.120000+00:00,False,,,
ci3254329,824121288160,2.98,"11km NNW of Rancho Cucamonga, California",34.207,-117.638,1.649,1455239300192,,reviewed,1996-02-12 10:34:48.160000+00:00,False,,,
ci3254563,824313177630,2.54,"24km E of Barstow, California",34.922,-116.761,4.898,1455311858225,,reviewed,1996-02-14 15:52:57.630000+00:00,False,,,
ci3254751,824422683330,2.5,"14km NNE of Ridgecrest, California",35.737,-117.628,5.297,1455230206143,,reviewed,1996-02-15 22:18:03.330000+00:00,False,,,
uu50127240,824424097480,2.72,"4 km SSE of Mesquite, Nevada",36.7711667,-114.053,8.88,1535469683550,,reviewed,1996-02-15 22:41:37.480000+00:00,False,,,
ci3254782,824428583010,2.75,"10km NNE of Simi Valley, California",34.35,-118.695,13.047,1455274634599,,reviewed,1996-02-15 23:56:23.010000+00:00,False,,,
ci3254786,824430054830,3.04,"8km SW of Holtville, California",32.768,-115.451,8.047,1455230207569,,reviewed,1996-02-16 00:20:54.830000+00:00,False,,,
ci3255078,824613498170,2.92,"4km SSW of Compton, California",33.86,-118.242,16.801,1455302826098,,reviewed,1996-02-18 03:18:18.170000+00:00,False,,,
ci3255214,824735287890,3.13,"34km WSW of Ludlow, California",34.634,-116.514,5.82,1455293293671,,reviewed,1996-02-19 13:08:07.890000+00:00,False,,,
ci3255270,824778449010,2.51,"19km W of Fort Irwin, California",35.238,-116.89,-0.807,1455302842728,,reviewed,1996-02-20 01:07:29.010000+00:00,False,,,
ci3255477,824918071960,3.81,"31km N of Yucca Valley, California",34.39,-116.458,1.486,1455239346114,,reviewed,1996-02-21 15:54:31.960000+00:00,False,,,
ci3255630,825034180920,2.51,"11km NNE of Yucaipa, California",34.121,-116.997,3.744,1455265645981,,reviewed,1996-02-23 00:09:40.920000+00:00,False,,,
ci3255807,825188227290,3.35,"3km W of Fontana, California",34.098,-117.491,13.591,1455239360657,,reviewed,1996-02-24 18:57:07.290000+00:00,False,,,
ci3256227,825501577070,2.89,"2km SE of San Fernando, California",34.266,-118.42,10.108,1455283862940,,reviewed,1996-02-28 09:59:37.070000+00:00,False,,,
ci3256240,825516484710,2.5,"13km NNE of Ridgecrest, California",35.729,-117.622,8.527,1455239392836,,reviewed,1996-02-28 14:08:04.710000+00:00,False,,,
ci3256349,825575927890,3.1,"6km NNW of Claremont, California",34.152,-117.734,9.886,1455274692601,,reviewed,1996-02-29 06:38:47.890000+00:00,False,,,
nc30098024,825607918420,2.82,"11 km NW of Parkfield, California",35.9733333,-120.5283333,4.87,1482568732430,,reviewed,1996-02-29 15:31:58.420000+00:00,False,,,
ci3256563,825705507870,2.94,"25km N of Yucca Valley, California",34.339,-116.471,3.386,1455265674047,,reviewed,1996-03-01 18:38:27.870000+00:00,False,,,
ci3256624,825727816670,2.66,"10km SW of Niland, California",33.191,-115.604,4.489,1455283884488,,reviewed,1996-03-02 00:50:16.670000+00:00,False,,,
ci3256662,825760960810,2.54,"14km NNE of Barstow, California",35.014,-116.973,3.721,1455248357226,,reviewed,1996-03-02 10:02:40.810000+00:00,False,,,
ci3256667,825766959460,2.5,"50km E of Beatty, Nevada",36.866,-116.194,5.07,1455274701405,,reviewed,1996-03-02 11:42:39.460000+00:00,False,,,
ci3257703,826413646570,3.26,"26km N of Yucca Valley, California",34.349,-116.468,2.916,1455311977610,,reviewed,1996-03-09 23:20:46.570000+00:00,False,,,
ci3258071,826733521340,2.85,"21km NE of Olancha, California",36.431,-117.858,4.447,1455293414735,,reviewed,1996-03-13 16:12:01.340000+00:00,False,,,
ci3258139,826779309160,2.64,"38km NE of Big Bear City, California",34.45,-116.504,-1.356,1455283929023,,reviewed,1996-03-14 04:55:09.160000+00:00,False,,,
ci3258145,826783965890,2.65,"50km WSW of Carlsbad, California",33.011,-117.855,5.806,1455348333598,,reviewed,1996-03-14 06:12:45.890000+00:00,False,,,
ci3258447,827020797320,2.54,"4km SE of Avalon, California",33.315,-118.302,-0.168,1455293430061,,reviewed,1996-03-16 23:59:57.320000+00:00,False,,,
ci3258576,827113652630,2.6,"20km E of Coso Junction, California",36.052,-117.721,0.9,1455239470089,,reviewed,1996-03-18 01:47:32.630000+00:00,False,,,
ci3258586,827119310830,2.94,"20km E of Coso Junction, California",36.053,-117.721,0.97,1455274761900,,reviewed,1996-03-18 03:21:50.830000+00:00,False,,,
uu50128315,827260283400,2.84,"4 km N of Scenic, Arizona",36.8348333,-114.015,9.92,1535469804410,,reviewed,1996-03-19 18:31:23.400000+00:00,False,,,
ci3258844,827307479760,4.11,"11km SSW of Valencia, California",34.362,-118.615,12.368,1455248450014,,reviewed,1996-03-20 07:37:59.760000+00:00,False,,,
ci3258936,827307643650,2.82,"11km SSW of Valencia, California",34.364,-118.606,9.408,1455348362491,,reviewed,1996-03-20 07:40:43.650000+00:00,False,,,
nc30100189,827455574330,2.61,"18 km NW of Parkfield, California",36.0213333,-120.577,4.395,1482574822610,,reviewed,1996-03-22 00:46:14.330000+00:00,False,,,
ci3259287,827609039370,2.67,"44km NNW of Los Algodones, B.C., MX",33.063,-114.923,-0.113,1455357567057,,reviewed,1996-03-23 19:23:59.370000+00:00,False,,,
nc30100397,827745490400,2.57,"23 km ENE of San Ardo, California",36.1321667,-120.684,5.317,1482575354110,,reviewed,1996-03-25 09:18:10.400000+00:00,False,,,
ci3259403,827762079690,3.2,"2km S of Chatsworth, California",34.236,-118.605,18.338,1455230387642,,reviewed,1996-03-25 13:54:39.690000+00:00,False,,,
ci3259421,827781849720,2.7,"15km ENE of Yucaipa, California",34.096,-116.899,8.964,1455283974979,,reviewed,1996-03-25 19:24:09.720000+00:00,False,,,
